,index,lang,textfile,Freq,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor
24044,00390,ell,ΐ,196,25.769891960694103,1072,Grek,84,0,alphabet,Phoenician,Phnx
24045,00390,grc,ΐ,17,25.769891960694103,1072,Grek,84,0,alphabet,Phoenician,Phnx
24046,003AC,ell,ά,32076,54.5976656754479,1472,Grek,84,0,alphabet,Phoenician,Phnx
24047,003AC,grc,ά,4368,54.5976656754479,1472,Grek,84,0,alphabet,Phoenician,Phnx
24048,003AD,ell,έ,30697,41.360042161241395,1203,Grek,84,0,alphabet,Phoenician,Phnx
24049,003AD,grc,έ,6061,41.360042161241395,1203,Grek,84,0,alphabet,Phoenician,Phnx
24050,003AE,ell,ή,15128,51.3885885736318,1132,Grek,84,0,alphabet,Phoenician,Phnx
24051,003AE,grc,ή,2911,51.3885885736318,1132,Grek,84,0,alphabet,Phoenician,Phnx
24052,003AF,ell,ί,35771,24.3329687846215,1047,Grek,84,0,alphabet,Phoenician,Phnx
24053,003AF,grc,ί,5975,24.3329687846215,1047,Grek,84,0,alphabet,Phoenician,Phnx
24054,003B0,ell,ΰ,1,42.9490105324045,1228,Grek,84,0,alphabet,Phoenician,Phnx
24055,003B0,grc,ΰ,1,42.9490105324045,1228,Grek,84,0,alphabet,Phoenician,Phnx
24056,003B1,ell,α,189222,48.719588093312105,1428,Grek,84,0,alphabet,Phoenician,Phnx
24057,003B1,grc,α,263036,48.719588093312105,1428,Grek,84,0,alphabet,Phoenician,Phnx
24058,003B2,ell,β,13558,69.5031218127738,1364,Grek,84,0,alphabet,Phoenician,Phnx
24059,003B2,grc,β,16049,69.5031218127738,1364,Grek,84,0,alphabet,Phoenician,Phnx
24060,003B3,ell,γ,29651,38.3889029008081,1201,Grek,84,0,alphabet,Phoenician,Phnx
24061,003B3,grc,γ,37423,38.3889029008081,1201,Grek,84,0,alphabet,Phoenician,Phnx
24062,003B4,ell,δ,30504,52.9240517869106,1381,Grek,84,0,alphabet,Phoenician,Phnx
24063,003B4,grc,δ,46144,52.9240517869106,1381,Grek,84,0,alphabet,Phoenician,Phnx
24064,003B5,ell,ε,135751,35.5625245961601,1136,Grek,84,0,alphabet,Phoenician,Phnx
24065,003B5,grc,ε,222132,35.5625245961601,1136,Grek,84,0,alphabet,Phoenician,Phnx
24066,003B6,ell,ζ,5964,44.2813130202662,1298,Grek,84,0,alphabet,Phoenician,Phnx
24067,003B6,grc,ζ,4965,44.2813130202662,1298,Grek,84,0,alphabet,Phoenician,Phnx
24068,003B7,ell,η,44314,45.5505428825906,1086,Grek,84,0,alphabet,Phoenician,Phnx
24069,003B7,grc,η,81676,45.5505428825906,1086,Grek,84,0,alphabet,Phoenician,Phnx
24070,003B8,ell,θ,28165,60.058568667777,1304,Grek,84,0,alphabet,Phoenician,Phnx
24071,003B8,grc,θ,37605,60.058568667777,1304,Grek,84,0,alphabet,Phoenician,Phnx
24072,003B9,ell,ι,114655,18.3452210299259,950,Grek,84,0,alphabet,Phoenician,Phnx
24073,003B9,grc,ι,201687,18.3452210299259,950,Grek,84,0,alphabet,Phoenician,Phnx
24074,003BA,ell,κ,71163,49.0103978348065,1182,Grek,84,0,alphabet,Phoenician,Phnx
24075,003BA,grc,κ,89376,49.0103978348065,1182,Grek,84,0,alphabet,Phoenician,Phnx
24076,003BB,ell,λ,47237,36.881820027826706,1299,Grek,84,0,alphabet,Phoenician,Phnx
24077,003BB,grc,λ,63928,36.881820027826706,1299,Grek,84,0,alphabet,Phoenician,Phnx
24078,003BC,ell,μ,48515,50.605657689568005,1138,Grek,84,0,alphabet,Phoenician,Phnx
24079,003BC,grc,μ,60634,50.605657689568005,1138,Grek,84,0,alphabet,Phoenician,Phnx
24080,003BD,ell,ν,127432,31.515409746377898,1150,Grek,84,0,alphabet,Phoenician,Phnx
24081,003BD,grc,ν,195847,31.515409746377898,1150,Grek,84,0,alphabet,Phoenician,Phnx
24082,003BE,ell,ξ,6307,51.7517848517828,1379,Grek,84,0,alphabet,Phoenician,Phnx
24083,003BE,grc,ξ,8586,51.7517848517828,1379,Grek,84,0,alphabet,Phoenician,Phnx
24084,003BF,ell,ο,151329,37.0931939205354,1148,Grek,84,0,alphabet,Phoenician,Phnx
24085,003BF,grc,ο,220555,37.0931939205354,1148,Grek,84,0,alphabet,Phoenician,Phnx
24086,003C0,ell,π,65556,43.8162919725421,1181,Grek,84,0,alphabet,Phoenician,Phnx
24087,003C0,grc,π,77682,43.8162919725421,1181,Grek,84,0,alphabet,Phoenician,Phnx
24088,003C1,ell,ρ,62412,47.239828468331204,1132,Grek,84,0,alphabet,Phoenician,Phnx
