;ISOKeyA;Languages;N_of_L;Added;Googled
0;Arab;['Aari [aiw]', 'Aceh [ace]', 'Fulfulde, Adamawa [fub]', 'Adyghe [ady]', 'Aer [aeq]', 'Afar [aar]', 'Afrikaans [afr]', 'Aimaq [aiq]', 'Akan [aka]', 'Arabic, Algerian Saharan Spoken [aao]', 'Arabic, Algerian Spoken [arq]', 'Amazigh [kab]', 'Amharic [amh]', 'Andaandi [dgl]', 'Anuak [anu]', 'Arabic [ara]', 'Argobba [agj]', 'Ashkun [ask]', 'Ashtiani [atn]', 'Avestan [ave]', 'Badeshi [bdz]', 'Baga Kaloum [bqf]', 'Baga Sobané [bsv]', 'Arabic, Baharna Spoken [abv]', 'Bakhtiâri [bqi]', 'Sama, Balangingih [sse]', 'Balanta-Ganja [bjt]', 'Balti [bft]', 'Bamanankan [bam]', 'Banjar [bjn]', 'Bari [bfa]', 'Bathari [bhm]', 'Bedawiyet [bej]', 'Bhadrawahi [bhd]', 'Bhaya [bhe]', 'Birked [brk]', 'Brahui [brh]', 'Brunei [kxd]', 'Burushaski [bsk]', 'Tamazight, Central Atlas [tzm]', 'Kurdish, Central [ckb]', 'Pashto, Central [pst]', 'Arabic, Chadian Spoken [shu]', 'Chechen [che]', 'Chilisso [clh]', 'Chittagonian [ctg]', 'Chorasmian [xco]', 'Cia-Cia [cia]', 'Swahili, Congo [swc]', 'Coptic [cop]', 'Crimean Tatar [crh]', 'Arabic, Cypriot Spoken [acy]', 'Dagbani [dag]', 'Dameli [dml]', 'Dari [prs]', 'Deccan [dcc]', 'Degano [wsv]', 'Dehwari [deh]', 'Dezfuli [def]', 'Dhatki [mki]', 'Arabic, Dhofari Spoken [adf]', 'Dogri [doi]', 'Domaaki [dmk]', 'Domari [rmt]', 'Dongxiang [sce]', 'Balochi, Eastern [bgp]', 'Cham, Eastern [cjm]', 'Arabic, Eastern Egyptian Bedawi Spoken [avl]', 'Maninkakan, Eastern [man]', 'Punjabi, Eastern [pan]', 'Arabic, Egyptian Spoken [arz]', 'Fulah [ful]', 'Ga [gaa]', 'Wolof, Gambian [wof]', 'Ganda [lug]', 'Gawar-Bati [gwt]', 'Gawri [gwc]', 'Gazi [gzi]', 'Gbaya (Central African Republic) [gba]', 'Ghera [ghr]', 'Gilaki [glk]', 'Goaria [gig]', 'Gonja [gjn]', 'Gowro [gwf]', 'Grangali [nli]', 'Gujari [gju]', 'Arabic, Gulf Spoken [afb]', 'Gurani [hac]', 'Gurgula [ggg]', 'Arabic, Hadrami Spoken [ayh]', 'Harari [har]', 'Harzani [hrz]', 'Hassaniyya [mey]', 'Hausa [hau]', 'Hazaragi [haz]', 'Arabic, Hijazi Spoken [acw]', 'Ida’an [dbj]', 'Indonesian [ind]', 'Kohistani, Indus [mvy]', 'Ingush [inh]', 'Inku [jat]', 'Ishkashimi [isk]', 'Jadgali [jdg]', 'Jahanka [jad]', 'Jandavra [jnd]', 'Bozo, Jenaama [bze]', 'Jogi [jog]', 'Jola-Fonyi [dyo]', 'Arabic, Judeo-Moroccan [aju]', 'Arabic, Judeo-Tunisian [ajt]', 'Jula [dyu]', 'Jur Modo [bex]', 'Kabutra [kbu]', 'Koli, Kachi [gjk]', 'Kajali [xkj]', 'Kakabe [kke]', 'Kalasha [kls]', 'Kalkoti [xka]', 'Kamviri [xvi]', 'Karakalpak [kaa]', 'Kashkay [qxq]', 'Kashmiri [kas]', 'Kati [bsh]', 'Kazakh [kaz]', 'Malay, Kedah [meo]', 'Khah [hkh]', 'Khetrani [xhe]', 'Khorasani Turkish [kmz]', 'Khowar [khw]', 'Khunsari [kfm]', 'Shina, Kohistani [plk]', 'Koti [eko]', 'Kumyk [kum]', 'Kundal Shahi [shd]', 'Kuranko [knk]', 'Kurdish [kur]', 'Kyrgyz [kir]', 'Laki [lki]', 'Lari [lrl]', 'Lasgerdi [lsa]', 'Lasi [lss]', 'Arabic, Libyan Spoken [ayl]', 'Loarki [lrk]', 'Lugbara [lgg]', 'Fulfulde, Maasina [ffm]', 'Maba [mde]', 'Makhuwa [vmw]', 'Makwe [ymk]', 'Malay (macrolanguage) [msa]', 'Malay [zlm]', 'Malayalam [mal]', 'Maltese [mlt]', 'Mampruli [maw]', 'Kanuri, Manga [kby]', 'Mankiyali [nlm]', 'Comorian, Maore [swb]', 'Marwari [mve]', 'Mattokki [xnz]', 'Mazandarani [mzn]', 'Memoni [mby]', 'Malagasy, Merina [mlg]', 'Arabic, Mesopotamian Spoken [acm]', 'Mesqan [mvz]', 'Minangkabau [min]', 'Mogholi [mhj]', 'Mogofin [mfg]', 'Arabic, Moroccan Spoken [ary]', 'Moru [mgd]', 'Munji [mnj]', 'Murle [mur]', 'Tat, Muslim [ttt]', 'Mwani [wmw]', 'Nafusi [jbn]', 'Arabic, Najdi Spoken [ars]', 'Natanzi [ntz]', 'Nayini [nyq]', 'Comorian, Ndzwani [wni]', 'Comorian, Ngazidja [zdj]', 'Fulfulde, Nigerian [fuv]', 'Nobiin [fia]', 'Azerbaijani, North [aze]', 'Arabic, North Levantine Spoken [apc]', 'Arabic, North Mesopotamian Spoken [ayp]', 'Pashai, Northeast [aee]', 'Hindko, Northern [hno]', 'Northern Luri [lrc]', 'Uzbek, Northern [uzb]', 'Pashai, Northwest [glh]', 'Fars, Northwestern [faz]', 'Nupe-Nupe-Tako [nup]', 'Oadki [odk]', 'Arabic, Omani Spoken [acx]', 'Ormuri [oru]', 'Oromo [orm]', 'Ottoman Turkish (1500-1928) [ota]', 'Otuho [lot]', 'Pahari-Potwari [phr]', 'Pahlavani [phv]', 'Palula [phl]', 'Parachi [prc]', 'Koli, Parkari [kvx]', 'Parsi-Dari [prd]', 'Malay, Pattani [mfa]', 'Persian [fas]', 'Prasuni [prn]', 'Pular [fuf]', 'Purig [prx]', 'Pushto [pus]', 'Rohingya [rhg]', 'Rudbari [rdb]', 'Saafi-Saafi [sav]', 'Samaritan Hebrew [smp]', 'Arabic, Sanaani Spoken [ayn]', 'Sangisari [sgr]', 'Sanglechi [sgy]', 'Saraiki [skr]', 'Savi [sdg]', 'Arabic, Sa’idi Spoken [aec]', 'Semnani [smy]', 'Serer-Sine [srr]', 'Shahmirzadi [srz]', 'Shahrudi [shm]', 'Arabic, Shihhi Spoken [ssh]', 'Shilluk [shk]', 'Shina [scl]', 'Shughni [sgh]', 'Shumashti [sts]', 'Silt’e [stv]', 'Sindhi Bhil [sbn]', 'Sindhi [snd]', 'Siwi [siz]', 'Somali [som]', 'Soninke [snk]', 'Soqotri [sqt]', 'Azerbaijani, South [azb]', 'Arabic, South Levantine Spoken [ajp]', 'Pashai, Southeast [psi]', 'Balochi, Southern [bal]', 'Hindko, Southern [hnd]', 'Kurdish, Southern [sdh]', 'Luri, Southern [luz]', 'Pashto, Southern [pbt]', 'Uzbek, Southern [uzs]', 'Zazaki, Southern [zza]', 'Pashai, Southwest [psh]', 'Dinka, Southwestern [dik]', 'Dinka, Southwestern [din]', 'Fars, Southwestern [fay]', 'Arabic, Sudanese Spoken [apd]', 'Sunda [sun]', 'Susu [sus]', 'Swahili (macrolanguage) [swa]', 'Swahili [swh]', 'Tachawit [shy]', 'Tachelhit [shi]', 'Tadaksahak [dsq]', 'Tagdal [tda]', 'Tamahaq, Tahaggart [thv]', 'Tajik [tgk]', 'Arabic, Tajiki Spoken [abh]', 'Takestani [tks]', 'Talysh [tly]', 'Tarifit [rif]', 'Tausug [tsg]', 'Tamajaq, Tawallammat [ttq]', 'Arabic, Ta’izzi-Adeni Spoken [acq]', 'Tem [kdh]', 'Bozo, Tieyaxo [boz]', 'Tigrigna [tir]', 'Tirahi [tra]', 'Torwali [trw]', 'Tregami [trm]', 'Tumzabt [mzb]', 'Arabic, Tunisian Spoken [aeb]', 'Turkish [tur]', 'Turkmen [tuk]', 'Urdu [urd]', 'Ushojo [ush]', 'Uyghur [uig]', 'Arabic, Uzbeki Spoken [auz]', 'Vafsi [vaf]', 'Vaghri [vgr]', 'Koli, Wadiyari [kxp]', 'Waigali [wbk]', 'Wakhi [wbl]', 'Wandala [mfi]', 'Waneci [wne]', 'Warduji [wrd]', 'Balochi, Western [bgn]', 'Cham, Western [cja]', 'Maninkakan, Western [mlq]', 'Western Neo-Aramaic [amw]', 'Fulfulde, Western Niger [fuh]', 'Punjabi, Western [lah]', 'Wolane [wle]', 'Wolio [wlo]', 'Wolof [wol]', 'Yadgha [ydg]', 'Yakan [yka]', 'Yalunka [yal]', 'Yao [yao]', 'Kanuri, Yerwa [knc]', 'Yoruba [yor]', 'Zaghawa [zag]', 'Zande [zne]', 'Zarma [dje]', 'Zenaga [zen]', 'Dari, Zoroastrian [gbz]'];308;1;1
1;Deva;['Gondi, Adilabad [wsg]', 'Gondi, Aheri [esg]', 'Andh [anr]', 'Angika [anp]', 'Asuri [asr]', 'Athpariya [aph]', 'Awadhi [awa]', 'Bagheli [bfy]', 'Bagri [bgq]', 'Bahing [bhj]', 'Bantawa [bap]', 'Baram [brd]', 'Bateri [btv]', 'Belhariya [byw]', 'Bhadrawahi [bhd]', 'Bharia [bha]', 'Bhatri [bgw]', 'Bhilali [bhi]', 'Bhili [bhb]', 'Bhojpuri [bho]', 'Bhujel [byh]', 'Bhunjia [bhu]', 'Bilaspuri [kfs]', 'Birhor [biy]', 'Boro [brx]', 'Bote [bmj]', 'Braj Bhasha [bra]', 'Buksa [tkb]', 'Bundeli [bns]', 'Byangsi [bee]', 'Nicobarese, Central [ncb]', 'Tharu, Central [the]', 'Chambeali [cdh]', 'Chamling [rab]', 'Chantyal [chx]', 'Chepang [cdm]', 'Chhattisgarhi [hne]', 'Chhintang [ctn]', 'Chinali [cih]', 'Churahi [cdj]', 'Maria, Dandami [daq]', 'Tharu, Dangaura [thl]', 'Danuwar [dhw]', 'Darai [dry]', 'Deccan [dcc]', 'Dewas Rai [dwz]', 'Dhimal [dhi]', 'Dhodia [dho]', 'Dogri [doi]', 'Dotyali [dty]', 'Dumi [dus]', 'Dungmali [raa]', 'Dungra Bhil [duh]', 'Duruwa [pci]', 'Magar, Eastern [mgp]', 'Mewahang, Eastern [emg]', 'Muria, Eastern [emu]', 'Tamang, Eastern [taj]', 'Muria, Far Western [fmu]', 'Hindi, Fiji [hif]', 'Gaddi [gbk]', 'Kham, Gamale [kgj]', 'Gamit [gbl]', 'Garhwali [gbm]', 'Konkani, Goan [gom]', 'Gowli [gok]', 'Gujari [gju]', 'Gurung [gvr]', 'Halbi [hlb]', 'Haroti [hoj]', 'Haryanvi [bgc]', 'Hindi [hin]', 'Ho [hoc]', 'Holiya [hoy]', 'Hyolmo [scp]', 'Jaunsari [jns]', 'Jerung [jee]', 'Jirel [jul]', 'Jumli [jml]', 'Kacchi [kfr]', 'Kanauji [bjj]', 'Kangri [xnr]', 'Kashmiri [kas]', 'Tharu, Kathariya [tkt]', 'Khaling [klr]', 'Khandesi [khn]', 'Kharia [khr]', 'Kinnauri [kfk]', 'Kodaku [ksz]', 'Konkani [kok]', 'Korku [kfq]', 'Korlai Portuguese Creole [vkp]', 'Korwa [kfp]', 'Koya [kff]', 'Koyee [kkt]', 'Kudmali [kyw]', 'Kukna [kex]', 'Pahari, Kullu [kfx]', 'Kulung [kle]', 'Kumal [kra]', 'Kumaoni [kfy]', 'Kurux [kru]', 'Lambadi [lmn]', 'Lhomi [lhm]', 'Lhowa [loy]', 'Limbu [lif]', 'Lodhi [lbm]', 'Lohorung [lbr]', 'Magahi [mag]', 'Pahari, Mahasu [bfz]', 'Maithili [mai]', 'Majhi [mjz]', 'Mal Paharia [mkb]', 'Mandeali [mjl]', 'Marathi [mar]', 'Maria [mrr]', 'Marwari [rwr]', 'Marwari [mwr]', 'Mawchi [mke]', 'Mewari [mtr]', 'Mewati [wtm]', 'Tharu, Mid-Eastern [thq]', 'Middle Newar [nwx]', 'Mising [mrg]', 'Munda [unx]', 'Mundari [unr]', 'Na [nbt]', 'Nachering [ncd]', 'Nepali (macrolanguage) [nep]', 'Newar [new]', 'Nimadi [noe]', 'Noiri [noi]', 'Gondi, Northern [gon]', 'Kolami, Northwestern [kfb]', 'Tamang, Northwestern [tmk]', 'Nyeshangte [nmm]', 'Sadri, Oraon [sdr]', 'Kinnauri, Pahari [kjo]', 'Pali [pli]', 'Palpa [plp]', 'Bareli, Palya [bpx]', 'Panchpargania [tdb]', 'Pangkhua [pkh]', 'Pangwali [pgg]', 'Pattani [lae]', 'Bareli, Pauri [bfb]', 'Puma [pum]', 'Puroik [suv]', 'Rajasthani [raj]', 'Rajbanshi [rjs]', 'Raji [rji]', 'Garasia, Rajput [gra]', 'Tharu, Rana [thr]', 'Rathawi [rtw]', 'Bareli, Rathwi [bgd]', 'Rawat [jnl]', 'Sadri [sck]', 'Sampang [rav]', 'Sanskrit [san]', 'Santhali [sat]', 'Saraiki [skr]', 'Sartang [onp]', 'Sauraseni Prākrit [psu]', 'Saurashtra [saz]', 'Sauria Paharia [mjt]', 'Shekhawati [swv]', 'Sherpa [xsr]', 'Kham, Sheshi [kip]', 'Sindhi [snd]', 'Sirmauri [srx]', 'Ghale, Southern [ghe]', 'Stod Bhoti [sbu]', 'Sunwar [suz]', 'Surgujia [sgj]', 'Surjapuri [sjp]', 'Syuba [syw]', 'Monpa, Tawang [twm]', 'Thakali [ths]', 'Thangmi [thf]', 'Thulung [tdh]', 'Tilung [tij]', 'Tinani [lbf]', 'Toto [txo]', 'Urdu [urd]', 'Varhadi-Nagpuri [vah]', 'Varli [vav]', 'Vasavi [vas]', 'Wagdi [wbr]', 'Wambule [wme]', 'Naga, Wancho [nnp]', 'Wayu [vay]', 'Magar, Western [mrd]', 'Mewahang, Western [raf]', 'Muria, Western [mut]', 'Kham, Western Parbate [kjl]', 'Tamang, Western [tdg]', 'Yakkha [ybh]', 'Yamphu [ybi]'];198;1;1
3;Ethi;['Aari [aiw]', 'Afar [aar]', 'Alaba-K’abeena [alw]', 'Amharic [amh]', 'Anuak [anu]', 'Argobba [agj]', 'Awngi [awn]', 'Basketo [bst]', 'Bench [bcq]', 'Bilen [byn]', 'Oromo, Borana-Arsi-Guji [gax]', 'Borna [bwo]', 'Burji [bji]', 'Dawro [dwr]', 'Dirasha [gdl]', 'Dizin [mdx]', 'Gamo [gmv]', 'Gedeo [drs]', 'Geez [gez]', 'Gofa [gof]', 'Gumuz [guk]', 'Hadiyya [hdy]', 'Hamer-Banna [amf]', 'Harari [har]', 'Kafa [kbr]', 'Kambaata [ktb]', 'Kistane [gru]', 'Komo [xom]', 'Konso [kxc]', 'Koorete [kqy]', 'Majang [mpe]', 'Male [mdy]', 'Me’en [mym]', 'Mositacha [dox]', 'Mursi [muz]', 'Oromo [orm]', 'Qimant [ahg]', 'Saho [ssy]', 'Sebat Bet Gurage [sgw]', 'Shekkacho [moy]', 'Sidamo [sid]', 'Silt’e [stv]', 'Tigré [tig]', 'Tigrigna [tir]', 'Suri, Tirmaga-Chai [suq]', 'Wolaytta [wal]', 'Xamtanga [xan]', 'Yemsa [jnj]', 'Zayse [zay]'];49;1;1
4;Beng;['Assamese [asm]', 'Bengali [ben]', 'Bishnupuriya [bpy]', 'Boro [brx]', 'Chakma [ccp]', 'Chiru [cdf]', 'Chittagonian [ctg]', 'Naga, Chothe [nct]', 'Deori [der]', 'Dimasa [dis]', 'Chin, Falam [cfm]', 'Garo [grt]', 'Hajong [haj]', 'Khasi [kha]', 'Koch [kdq]', 'Koda [cdz]', 'Kok Borok [trp]', 'Kudmali [kyw]', 'Mahali [mjx]', 'Naga, Maring [nng]', 'Meitei [mni]', 'Mising [mrg]', 'Mizo [lus]', 'Naga, Moyon [nmo]', 'Munda [unx]', 'Mundari [unr]', 'Nyishi [njz]', 'Sadri, Oraon [sdr]', 'Panchpargania [tdb]', 'Puroik [suv]', 'Rabha [rah]', 'Rangpuri [rkt]', 'Sadri [sck]', 'Santhali [sat]', 'Sauria Paharia [mjt]', 'Sylheti [syl]', 'Naga, Thangal [nki]', 'Tippera [tpe]', 'Tiwa [lax]', 'Toto [txo]', 'Usoi [usi]'];41;1;1
5;Thai;['Akha [ahk]', 'Bisu [bzi]', 'Blang [blr]', 'Chong [cog]', 'Bru, Eastern [bru]', 'Lawa, Eastern [lwl]', 'Hmong Daw [mww]', 'Hmong Njua [hnj]', 'Iu Mien [ium]', 'Kensiu [kns]', 'Khmu [kjg]', 'Khuen [khf]', 'Kuay [kdt]', 'Laomian [lwm]', 'Mal [mlf]', 'Mlabri [mra]', 'Moken [mwt]', 'Moklen [mkm]', 'Mpi [mpz]', 'Thai, Northeastern [tts]', 'Katang, Northern [ncq]', 'Khmer, Northern [kxm]', 'Thai, Northern [nod]', 'Nyahkur [cbn]', 'Pali [pli]', 'Malay, Pattani [mfa]', 'Karen, Phrae Pwo [kjt]', 'Prai [prt]', 'Karen, Pwo Northern [pww]', 'Karen, Pwo West-Central Thailand [kjp]', 'Palaung, Ruching [pce]', 'Shan [shn]', 'So [sss]', 'Thai, Southern [sou]', 'Thai Song [soa]', 'Thai [tha]', 'Urak Lawoi’ [urk]', 'Bru, Western [brv]', 'Lawa, Western [lcp]'];39;1;1
6;Tibt;['Tibetan, Amdo [adx]', 'Balti [bft]', 'Luoba, Boga’er [adi]', 'Bumthangkha [kjz]', 'Tibetan, Central [bod]', 'Changthang [cna]', 'Chug [cvg]', 'Classical Tibetan [xct]', 'Dolpo [dre]', 'Dzongkha [dzo]', 'Tamang, Eastern [taj]', 'Gahri [bfu]', 'Mongolian, Halh [mon]', 'Jiarong [jya]', 'Khamba [kbg]', 'Tibetan, Khams [khg]', 'Khengkha [xkf]', 'Kuke [ght]', 'Kurtokha [xkz]', 'Ladakhi [lbj]', 'Lepcha [lep]', 'Lhowa [loy]', 'Mugom [muk]', 'Nyeshangte [nmm]', 'Old Tibetan [otb]', 'Pattani [lae]', 'Purig [prx]', 'Sherpa [xsr]', 'Sikkimese [sip]', 'Spiti Bhoti [spt]', 'Stod Bhoti [sbu]', 'Tinani [lbf]', 'Tshangla [tsj]', 'Walungge [ola]', 'Tamang, Western [tdg]', 'Luoba, Yidu [clk]', 'Zangskari [zau]'];37;1;1
7;Mymr;['Aiton [aio]', 'Akha [ahk]', 'Chin, Asho [csh]', 'Burmese [mya]', 'Karen, Bwe [bwe]', 'Karen, Geba [kvq]', 'Intha [int]', 'Kawyaw [kxf]', 'Kayan [pdu]', 'Khamti [kht]', 'Lamkang [lmk]', 'Marma [rmz]', 'Moken [mwt]', 'Mon [mnw]', 'Old Burmese [obr]', 'Pali [pli]', 'Pa’o [blk]', 'Phake [phk]', 'Karen, Pwo West-Central Thailand [kjp]', 'Karen, Pwo Western [pwo]', 'Rakhine [rki]', 'Palaung, Ruching [pce]', 'Palaung, Rumai [rbb]', 'Sanskrit [san]', 'Shan [shn]', 'Palaung, Shwe [pll]', 'Karen, S’gaw [ksw]', 'Tai Laing [tjl]', 'Kayah, Western [kyu]'];29;1;1
9;Orya;['Gadaba, Bodo [gbj]', 'Bodo Parja [bdv]', 'Bondo [bfw]', 'Kui, Dawik [dwk]', 'Desiya [dso]', 'Duruwa [pci]', 'Gata’ [gaq]', 'Ho [hoc]', 'Juang [jun]', 'Juray [juy]', 'Kisan [xis]', 'Koya [kff]', 'Kudmali [kyw]', 'Kui (India) [kxu]', 'Kui [uki]', 'Kuvi [kxv]', 'Mirgan [zrg]', 'Munda [unx]', 'Mundari [unr]', 'Odia [ori]', 'Pengo [peg]', 'Gadaba, Pottangi Ollar [gdb]', 'Sambalpuri [spv]', 'Santhali [sat]', 'Sora [srb]'];25;1;1
10;Cans;['Beaver [bea]', 'Blackfoot [bla]', 'Carrier [crx]', 'Chippewa [ciw]', 'Dene [chp]', 'Ojibwa, Eastern [oji]', 'Inuinnaqtun [ikt]', 'Inuktitut [iku]', 'Cree, Moose [crm]', 'Naskapi [nsk]', 'Slavey, North [scs]', 'Cree, Northern East [crl]', 'Ojibwa, Northwestern [ojb]', 'Oji-Cree [ojs]', 'Cree, Plains [crk]', 'Sekani [sek]', 'Slavey, South [den]', 'Carrier, Southern [caf]', 'Cree, Southern East [crj]', 'Cree, Swampy [csw]', 'Ojibwa, Western [ojw]', 'Cree, Woods [cre]'];22;1;1
12;Telu;['Gondi, Adilabad [wsg]', 'Oriya, Adivasi [ort]', 'Gondi, Aheri [esg]', 'Chenchu [cde]', 'Ho [hoc]', 'Konda-Dora [kfc]', 'Koya [kff]', 'Kupia [key]', 'Kuvi [kxv]', 'Lambadi [lmn]', 'Manna-Dora [mju]', 'Mirgan [zrg]', 'Gadaba, Mudhili [gau]', 'Gondi, Northern [gon]', 'Parenga [pcj]', 'Gadaba, Pottangi Ollar [gdb]', 'Saurashtra [saz]', 'Sora [srb]', 'Kolami, Southeastern [nit]', 'Telugu [tel]', 'Waddar [wbq]', 'Yerukula [yeu]'];22;1;1
